Region,Rainfall_mm,Temperature_C,Soil_Moisture_pct,Soil_pH,Nitrogen,Phosphorus,Potassium,Irrigation_pct,Crop_Area_ha,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Sunlight_hours,Humidity_pct,Altitude_m,Wind_kmh,Groundwater_m,Crop_Diversity_Index,Mechanization_Score,Yield_Variance,Avg_Yield_ton_per_ha
0,1526.0,33.990742618390314,41.63227692813405,6.887571153144369,58.40530562258149,39.66684337731032,27.603488621949715,82.88820728930148,2258.0,505.3013779898798,24.5922367351795,8.085243641604505,,330.0,12.749802338918643,,0.5997001508891474,57.76636289250001,1.4391338736743018,4.526846296244647
1,1260.0,34.50265353385595,41.04013148928196,6.588822027438299,40.91799978925951,37.585459676466186,32.10548411789639,-63.70510379211335,906.0,117.00954175469836,13.280216513720603,7.752351011589639,79.36728797644435,325.0,8.375875182720081,13.494291527337362,0.8177696396207128,47.07452848375662,2.324997696232897,4.239256819212017
2,1694.0,21.72809973576288,38.68762978311473,5.637347924633046,43.65701078417193,36.98577561995493,29.948020805581933,40.20531014487242,2011.0,,15.836483067613171,10.294069573374284,61.14091066028918,522.0,11.161656342864358,24.5853858815031,0.7649370063213204,66.48509395416995,,4.976454305690144
3,1530.0,22.713834921299995,62.78618362808282,7.044777247555868,,41.28577434808668,28.73845189567374,40.55066791678037,1575.0,,19.45802330818751,6.63272229356704,60.9417485746153,118.0,,34.62524369573616,0.7746376684120522,46.31785489687073,1.98799498811528,3.8405440481525375
4,1495.0,30.675171274403542,72.40079426247007,,66.52930721685826,36.68353801864564,35.976978958534225,60.83180187068753,,124.35912914569366,,8.828224411923943,51.7954669922648,130.0,12.912717798328172,12.40626458094314,0.4980696748669358,76.166547358243,2.4231218391228664,3.389769813183508
5,1444.0,36.15732260925032,66.21587348383306,7.7774804552515295,37.575736715393845,21.9552387514418,,47.750433370837726,2279.0,94.38382507960604,22.33827252705384,6.710308047215311,60.32262704343115,432.0,,17.143285714144533,0.6341621536842776,,2.000587888928555,2.2702215888406734
6,,,69.60468168802717,6.050065188899159,30.201062104392125,36.16688134949074,31.54909335434537,73.22253285466297,1960.0,117.42065847660636,20.94962600998177,9.523979180660934,79.86467385315402,220.0,8.118325311574957,31.73647791344719,0.8309140654123014,51.656090651529794,2.4896503799940293,4.989684258541571
7,866.0,29.76613351590113,50.23992145425999,6.7206959171597225,,,26.640795237288028,,1697.0,157.44580023277427,,10.525390638972404,59.52514841958544,123.0,17.00487289109734,11.806800306380923,0.6520190038143787,74.03625288603999,1.9688263393981624,3.654591958796849
8,1638.0,31.659641268342646,62.703789768599904,6.997201870771567,66.19065366720471,22.26523951042412,,48.89398977303143,,140.23889544313482,24.97316097670416,,83.06414249999152,424.0,,31.897143034173784,0.7417263717105251,58.33870440582895,0.8584171496686639,4.1014324090704255
9,730.0,27.038972025980783,47.711812022238725,6.98255970190739,55.900658593734526,17.19010778698882,28.083047279493453,84.42666442622425,1406.0,,20.790841713230943,8.440461301324879,82.8523559683355,570.0,12.020981906393468,23.107149584368777,0.6939668665171324,40.95983783200292,2.20591679879977,3.220227161573934
10,487.0,32.27564909710652,56.275231098432,6.790975148781326,40.92162477311227,37.3208574104303,30.165924382709,62.0953922489463,1637.0,82.62603990553922,22.686356376999925,10.63711418241381,50.79594637229384,310.0,8.26226530794467,20.206669348160645,,59.78345004810584,1.2838708502968426,3.643147124537708
11,1796.0,35.99334890584346,54.08174232674312,7.286934423752618,37.08770004044764,36.33002885849434,37.929511865446095,,2292.0,117.4287570107328,19.07036110562089,8.604956943246785,52.0924501409058,548.0,10.013695612356967,,0.5422804198808013,43.38173341520492,1.5582972836295497,4.827733195678661
12,1523.0,30.48203088363676,38.84435725719272,5.9714567819116775,,22.03498433022281,,78.21257990346977,1401.0,131.72969069260444,22.55684717679496,8.437992190247805,,260.0,19.397651401077777,17.427928953196048,0.6877376389431824,79.41378874749242,,2.499258313794808
13,1271.0,28.79562123829266,,7.168942560631156,,37.48137050172468,29.217757545200968,79.49872500083865,2394.0,146.40261469024597,9.91051057378806,8.89164551352152,60.71043675698877,-4900.0,12.801349064087514,17.64506456123697,0.461617334004902,63.524462818224094,1.256541980556455,2.877117752990764
14,530.0,26.77489350776678,78.19111377411755,6.925389514296105,67.66131641137764,42.535226492806586,37.74350024572559,71.96477363327287,1202.0,83.94189228662172,13.911543204508366,9.44614868181476,,,11.010489218648791,32.1200770240049,0.7451053883497339,50.26130470443914,1.5333896962386353,2.456179183334097
15,1732.0,29.54972541812252,42.42901288574711,,61.36824697461067,18.24086872474738,35.252465269777815,82.67327766012767,1339.0,,,6.534416875435157,55.95487278821484,213.0,12.821330635224855,28.09488075436964,0.765983919176356,62.54870718190471,1.4438774623491453,4.376647711414324
16,1169.0,25.10724903636792,36.69018681397444,7.448547209777238,48.495647076501626,21.97909915160325,30.50270930493868,76.86864860153356,1895.0,123.87207493935291,11.428138591537168,10.10555263870758,68.9051597278224,516.0,16.68482758849413,26.743075195778765,0.4214186605944992,43.0746841352702,1.876675589132402,2.186135781265489
17,743.0,,50.92903108119677,6.224838190004872,64.59850420460808,37.50782382261946,25.205222444450907,84.11028686134952,823.0,95.7851176460848,9.330115675860387,8.177525137266297,76.97063863839873,259.0,10.101634047543032,,0.7378954818139926,71.99565217075268,24.930066687915165,2.244894949554015
18,1205.0,28.63714959376348,,6.135345847442852,39.97832817172929,23.235200205212347,39.01053599565225,61.69440242427397,1423.0,105.380417315976,21.398021979068723,6.361742549487428,50.33554468373038,542.0,7.680591813989133,16.427866575103625,0.6073450770828932,77.01312215456655,1.3050507104183091,
19,,19.33238224781634,59.107411488998615,7.7578026448606305,58.68482273888774,33.7399192285115,,77.37985640497212,2308.0,,22.20326464593604,9.930913345991064,49.42165457666941,319.0,13.774041775085715,25.45107030204389,0.4620484380548412,74.97777552824638,1.1633259597974297,3.5425645427630337
20,1615.0,22.580507818495928,64.04874136191222,6.71270991610509,64.24529996054974,17.434926733911436,31.78832002431421,-89.98757817145221,,122.46872274307806,10.765087709228313,7.884749858431361,81.88370614289326,456.0,14.978061552216008,21.50165597394877,0.6099537738492338,53.67030409194251,1.933721960479582,3.21882440167876
21,1355.0,28.85698621226818,,7.584768217003205,44.2707484649309,28.56607437310616,28.95420489690038,76.24655987598096,1785.0,84.13485439289055,22.523881707306163,6.50183747547527,75.0459347129033,268.0,15.690770044378244,,0.4971164648477909,53.03072478573474,1.939544111912329,
22,676.0,26.63056286272885,60.94740965038608,5.876926354695109,699.0491289005541,37.1727426597886,51.61128233340885,45.70918901185661,1022.0,92.68289267999388,19.675052525151884,9.168895197716251,68.59118403112313,111.0,,17.731402761832136,0.6077797660616583,41.403504448652,24.930066687915165,4.872474673612855
23,,24.656315718249687,46.17501974557369,6.978483504040401,41.80289397057237,35.59541829129758,33.25074317463393,65.91593612145914,2455.0,145.0154434700626,16.841405614681925,10.400656767168208,75.76747159983712,556.0,10.567611810336697,26.0794654217474,,66.05601434803667,0.8271076669706285,4.858608561074251
24,,,71.71516829773837,7.362678430929348,41.95428541036123,39.452163020274206,31.708378593779944,69.3673895621514,978.0,90.60831925974487,22.114253277283545,10.438767547069933,62.154174452265536,341.0,6.130323443433377,32.05531029543283,0.7691958184680288,61.3961913675918,2.2501691255980667,2.83806896972228
25,1737.0,31.87435214806677,61.46494030053681,7.679009074048828,34.28228714216744,41.323563798095066,50.71290818829748,48.71053375356955,1599.0,98.67170155665016,15.12723723842242,10.788317374044864,75.33822989236506,474.0,19.37522875446413,20.05376190487322,0.7871077790831794,58.37385485309365,1.6857036940122068,4.194576845805745
